plotcode,visit,lulc,phase,date,season,common_name,scientific_name,family,order,cue,individual
J6,1,jhum,1,15/10/2021,pre-winter,Oriental Turtle-Dove,Streptopelia orientalis,Columbidae,Columbiformes,sight,2
J6,1,jhum,1,15/10/2021,pre-winter,Peregrine Falcon,Falco peregrinus,Falconidae,Falconiformes,sight,1
J7,1,jhum,1,15/10/2021,pre-winter,Hill Prinia,Prinia superciliaris,Cisticolidae,Passeriformes,sight,1
J1,1,jhum,1,18/10/2021,pre-winter,Olive-backed Pipit,Anthus hodgsoni,Motacillidae,Passeriformes,sight,2
J8,1,jhum,1,18/10/2021,pre-winter,Grey Bushchat,Saxicola ferreus,Muscicapidae,Passeriformes,sight,1
J8,1,jhum,1,18/10/2021,pre-winter,Grey-crowned Warbler,Phylloscopus tephrocephalus,Phylloscopidae,Passeriformes,sight,1
J8,1,jhum,1,18/10/2021,pre-winter,White-rumped Munia,Lonchura striata,Estrildidae,Passeriformes,sight,3
J6,1,jhum,1,23/10/2021,pre-winter,Olive-backed Pipit,Anthus hodgsoni,Motacillidae,Passeriformes,sight,1
J6,2,jhum,1,23/10/2021,pre-winter,Peregrine Falcon,Falco peregrinus,Falconidae,Falconiformes,sight,1
J7,2,jhum,1,23/10/2021,pre-winter,Lesser Yellownape,Picus chlorolophus,Picidae,Piciformes,sight,1
J7,2,jhum,1,23/10/2021,pre-winter,Olive-backed Pipit,Anthus hodgsoni,Motacillidae,Passeriformes,sight,1
J1,2,jhum,1,25/10/2021,pre-winter,NA,NA,NA,NA,NA,NA
J8,2,jhum,1,25/10/2021,pre-winter,Hill Prinia,Prinia superciliaris,Cisticolidae,Passeriformes,sight,1
J8,2,jhum,1,25/10/2021,pre-winter,Scaly-breasted Munia,Lonchura punctulata,Estrildidae,Passeriformes,sight,1
A1,1,abandoned,1,26/10/2021,pre-winter,Chestnut-headed Tesia,Cettia castaneocoronata,Scotocercidae,Passeriformes,call,1
A1,1,abandoned,1,26/10/2021,pre-winter,Hume's Bush Warbler,Horornis brunnescens,Scotocercidae,Passeriformes,call,1
A1,1,abandoned,1,26/10/2021,pre-winter,Scaly-breasted Munia,Lonchura punctulata,Estrildidae,Passeriformes,sight,3
A2,1,abandoned,1,26/10/2021,pre-winter,Dark-breasted Rosefinch,Procarduelis nipalensis,Fringillidae,Passeriformes,sight,3
A5,1,abandoned,1,27/10/2021,pre-winter,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes,sight,1
A5,1,abandoned,1,27/10/2021,pre-winter,Scaly-breasted Munia,Lonchura punctulata,Estrildidae,Passeriformes,sight,8
J4,1,jhum,1,27/10/2021,pre-winter,Daurian Redstart,Phoenicurus auroreus,Muscicapidae,Passeriformes,sight,1
J4,1,jhum,1,27/10/2021,pre-winter,Grey Bushchat,Saxicola ferreus,Muscicapidae,Passeriformes,sight,1
J5,1,jhum,1,27/10/2021,pre-winter,Grey Bushchat,Saxicola ferreus,Muscicapidae,Passeriformes,sight,3
J5,1,jhum,1,27/10/2021,pre-winter,Scaly-breasted Munia,Lonchura punctulata,Estrildidae,Passeriformes,sight,5
F1,1,forest,1,28/10/2021,pre-winter,Red-billed Scimitar Babbler,Pomatorhinus ochraceiceps,Timaliidae,Passeriformes,call,1
F1,1,forest,1,28/10/2021,pre-winter,Striated Laughingthrush,Grammatoptila striata,Leiotrichidae,Passeriformes,call,1
B4,1,bamboo,1,19/11/2021,pre-winter,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes,call,1
A1,2,abandoned,1,16/11/2021,pre-winter,Chestnut-headed Tesia,Cettia castaneocoronata,Scotocercidae,Passeriformes,call,1
A2,2,abandoned,1,16/11/2021,pre-winter,Dark-breasted Rosefinch,Procarduelis nipalensis,Fringillidae,Passeriformes,sight,3
A2,2,abandoned,1,16/11/2021,pre-winter,Tickell's Leaf Warbler,Phylloscopus affinis,Phylloscopidae,Passeriformes,sight,1
A5,2,abandoned,1,17/11/2021,pre-winter,Grey Bushchat,Saxicola ferreus,Muscicapidae,Passeriformes,sight,1
A5,2,abandoned,1,17/11/2021,pre-winter,Scaly-breasted Munia,Lonchura punctulata,Estrildidae,Passeriformes,sight,10
J4,2,jhum,1,17/11/2021,pre-winter,Blue-fronted Redstart,Phoenicurus frontalis,Muscicapidae,Passeriformes,sight,2
J4,2,jhum,1,17/11/2021,pre-winter,Hodgson's Redstart,Phoenicurus hodgsoni,Muscicapidae,Passeriformes,sight,1
J5,2,jhum,1,17/11/2021,pre-winter,Blue-fronted Redstart,Phoenicurus frontalis,Muscicapidae,Passeriformes,sight,1
J5,2,jhum,1,17/11/2021,pre-winter,Grey Bushchat,Saxicola ferreus,Muscicapidae,Passeriformes,sight,3
J5,2,jhum,1,17/11/2021,pre-winter,Hill Prinia,Prinia superciliaris,Cisticolidae,Passeriformes,sight,1
B4,1,bamboo,1,19/11/2021,pre-winter,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes,call,1
B4,1,bamboo,1,19/11/2021,pre-winter,Chestnut-headed Tesia,Cettia castaneocoronata,Scotocercidae,Passeriformes,call,1
B4,1,bamboo,1,19/11/2021,pre-winter,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes,call,1
B4,1,bamboo,1,19/11/2021,pre-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,sight,2
B4,1,bamboo,1,19/11/2021,pre-winter,Large Niltava,Niltava grandis,Muscicapidae,Passeriformes,call,1
B4,1,bamboo,1,19/11/2021,pre-winter,Mountain Tailorbird,Phyllergates cucullatus,Scotocercidae,Passeriformes,call,1
B4,1,bamboo,1,19/11/2021,pre-winter,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes,sight,5
B4,1,bamboo,1,19/11/2021,pre-winter,Striated Laughingthrush,Grammatoptila striata,Leiotrichidae,Passeriformes,call,1
B5,2,bamboo,1,21/11/2021,pre-winter,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Green-tailed Sunbird,Aethopyga nipalensis,Nectariniidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Grey-bellied Tesia,Tesia cyaniventer,Scotocercidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Mountain Tailorbird,Phyllergates cucullatus,Scotocercidae,Passeriformes,call,1
A6,6,abandoned,3,23/11/2022,pre-winter,Nepal Fulvetta,Alcippe nipalensis,Leiothrichidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes,call,1
F2,1,forest,1,20/11/2021,pre-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,call,1
F5,1,forest,1,20/11/2021,pre-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
F5,1,forest,1,20/11/2021,pre-winter,Blue Whistling-Thrush,Myophonus caeruleus,Muscicapidae,Passeriformes,call,1
F5,1,forest,1,20/11/2021,pre-winter,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes,call,1
F5,1,forest,1,20/11/2021,pre-winter,Grey Treepie,Dendrocitta formosae,Corvidae,Passeriformes,call,1
F5,1,forest,1,20/11/2021,pre-winter,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes,call,1
F5,1,forest,1,20/11/2021,pre-winter,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes,call,1
F5,1,forest,1,20/11/2021,pre-winter,Sikkim Treecreeper,Certhia discolor,Certhiidae,Passeriformes,sight,1
F5,1,forest,1,20/11/2021,pre-winter,Small Niltava,Niltava macgrigoriae,Muscicapidae,Passeriformes,call,1
F5,1,forest,1,20/11/2021,pre-winter,Yellow-billed Blue-Magpie,Urocissa flavirostris,Corvidae,Passeriformes,call,1
F6,1,forest,1,20/11/2021,pre-winter,Grey-chinned Minivet,Pericrocotus solaris,Campephagidae,Passeriformes,sight,10
F6,1,forest,1,20/11/2021,pre-winter,Red-tailed Minla,Minla ignotincta,Leiotrichidae,Passeriformes,sight,1
F6,1,forest,1,20/11/2021,pre-winter,Sikkim Treecreeper,Certhia discolor,Certhiidae,Passeriformes,sight,1
F6,1,forest,1,20/11/2021,pre-winter,Streaked Spiderhunter,Arachnothera magna,Nectariniidae,Passeriformes,sight,1
F6,1,forest,1,20/11/2021,pre-winter,White-bellied Erpornis,Erpornis zantholeuca,Vireonidae,Passeriformes,sight,1
F6,1,forest,1,20/11/2021,pre-winter,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes,sight,2
F6,1,forest,1,20/11/2021,pre-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,sight,1
B5,2,bamboo,1,21/11/2021,pre-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
B5,2,bamboo,1,21/11/2021,pre-winter,Bay Woodpecker,Blythipicus pyrrhotis,Picidae,Piciformes,call,1
B5,2,bamboo,1,21/11/2021,pre-winter,Himalayan Bluetail,Tarsiger rufilatus,Muscicapidae,Passeriformes,call,1
B5,2,bamboo,1,21/11/2021,pre-winter,Mountain Tailorbird,Phyllergates cucullatus,Scotocercidae,Passeriformes,call,1
F7,6,forest,3,26/11/2022,pre-winter,Nepal Fulvetta,Alcippe nipalensis,Leiothrichidae,Passeriformes,sight,1
B5,2,bamboo,1,21/11/2021,pre-winter,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes,call,1
B2,1,bamboo,1,24/11/2021,pre-winter,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes,call,1
B6,2,bamboo,1,21/11/2021,pre-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
B6,2,bamboo,1,21/11/2021,pre-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,call,1
B6,2,bamboo,1,21/11/2021,pre-winter,Hume's Bush Warbler,Horornis brunnescens,Scotocercidae,Passeriformes,call,1
B6,2,bamboo,1,21/11/2021,pre-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
B6,2,bamboo,1,21/11/2021,pre-winter,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes,call,1
B6,2,bamboo,1,21/11/2021,pre-winter,Striated Laughingthrush,Grammatoptila striata,Leiotrichidae,Passeriformes,call,1
B6,2,bamboo,1,21/11/2021,pre-winter,White-throated Fantail,Rhipidura albicollis,Rhipiduridae,Passeriformes,call,1
B2,1,bamboo,1,24/11/2021,pre-winter,Bay Woodpecker,Blythipicus pyrrhotis,Picidae,Piciformes,call,1
B2,1,bamboo,1,24/11/2021,pre-winter,Dark-sided Thrush,Zoothera marginata,Turdidae,Passeriformes,call,1
B2,1,bamboo,1,24/11/2021,pre-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,call,1
B2,1,bamboo,1,24/11/2021,pre-winter,Himalayan Bluetail,Tarsiger rufilatus,Muscicapidae,Passeriformes,call,1
