lulc,site,season,phase,year,coverage_based.qD,mean_temp,mean_rh
forest,F1,pre-winter,1,1,18.5,12.08,86.47
forest,F2,pre-winter,1,1,28.61,11.55,91.62
forest,F3,pre-winter,1,1,35.59,11.01,94.72
forest,F4,pre-winter,1,1,40.87,10.88,89.23
forest,F5,pre-winter,1,1,45.09,10.78,93.06
forest,F6,pre-winter,1,1,48.57,11.21,92.39
forest,F7,pre-winter,1,1,49.83,9.99,96.80
forest,F8,pre-winter,1,1,54,9.83,95.95
bamboo,B1,pre-winter,1,1,14.63,8.84,80.66
bamboo,B2,pre-winter,1,1,20.39,9.86,98.85
bamboo,B3,pre-winter,1,1,23.86,10.29,94.65
bamboo,B4,pre-winter,1,1,26.31,10.06,88.67
bamboo,B5,pre-winter,1,1,28.21,10.87,85.56
bamboo,B6,pre-winter,1,1,29.75,10.20,90.23
bamboo,B7,pre-winter,1,1,29.89,11.50,88.57
bamboo,B8,pre-winter,1,1,32,11.50,85.10
jhum,J1,pre-winter,1,1,3.5,21.10,82.35
jhum,J2,pre-winter,1,1,6.39,12.80,80.35
jhum,J3,pre-winter,1,1,8.80,10.50,77.99
jhum,J4,pre-winter,1,1,10.84,17.35,70.18
jhum,J5,pre-winter,1,1,12.61,17.19,71.02
jhum,J6,pre-winter,1,1,14.18,21.56,72.71
jhum,J7,pre-winter,1,1,14.79,22.17,83.69
jhum,J8,pre-winter,1,1,17,21.23,86.66
abandoned,A1,pre-winter,1,1,2.5,16.02,78.31
abandoned,A2,pre-winter,1,1,4.68,17.80,73.70
abandoned,A3,pre-winter,1,1,6.57,13.33,81.75
abandoned,A4,pre-winter,1,1,8.21,8.15,83.36
abandoned,A5,pre-winter,1,1,9.64,13.25,79.93
abandoned,A6,pre-winter,1,1,10.89,13.76,76.38
abandoned,A7,pre-winter,1,1,11.82,14.49,79.08
abandoned,A8,pre-winter,1,1,13,16.95,73.01
forest,F1,post-winter,2,1,15.5,11.35,68.45
forest,F2,post-winter,2,1,24.21,10.96,80.56
forest,F3,post-winter,2,1,30.48,9.03,94.59
forest,F4,post-winter,2,1,35.43,10.58,84.11
forest,F5,post-winter,2,1,39.61,10.36,87.34
forest,F6,post-winter,2,1,43.32,10.09,90.93
forest,F7,post-winter,2,1,46.24,12.89,75.94
forest,F8,post-winter,2,1,50,15.10,65.53
bamboo,B1,post-winter,2,1,11.5,13.49,61.92
bamboo,B2,post-winter,2,1,17.79,7.83,91.25
bamboo,B3,post-winter,2,1,22.07,8.07,87.43
bamboo,B4,post-winter,2,1,25.21,15.13,64.29
bamboo,B5,post-winter,2,1,27.59,16.66,57.82
bamboo,B6,post-winter,2,1,29.43,10.11,87.32
bamboo,B7,post-winter,2,1,29.59,12.55,89.18
bamboo,B8,post-winter,2,1,32,12.95,65.14
jhum,J1,post-winter,2,1,3.88,10.77,79.98
jhum,J2,post-winter,2,1,6.89,17.33,74.83
jhum,J3,post-winter,2,1,9.29,16.08,73.19
jhum,J4,post-winter,2,1,11.21,21.48,50.12
jhum,J5,post-winter,2,1,12.79,18.77,52.10
jhum,J6,post-winter,2,1,14.07,11.74,78.06
jhum,J7,post-winter,2,1,14.97,11.21,75.88
jhum,J8,post-winter,2,1,16,17.36,64.06
abandoned,A1,post-winter,2,1,3.13,14.15,65.58
abandoned,A2,post-winter,2,1,5.50,11.49,77.54
abandoned,A3,post-winter,2,1,7.39,16.69,76.77
abandoned,A4,post-winter,2,1,8.99,16.13,80.98
abandoned,A5,post-winter,2,1,10.39,16.68,75.09
abandoned,A6,post-winter,2,1,11.68,17.95,73.87
abandoned,A7,post-winter,2,1,12.68,17.45,74.16
abandoned,A8,post-winter,2,1,14,20.47,43.30
forest,F1,post-winter,3,2,15.38,10.76,73.76
forest,F2,post-winter,3,2,24.79,10.54,87.03
forest,F3,post-winter,3,2,31.77,12.03,86.39
forest,F4,post-winter,3,2,37.31,13.70,75.38
forest,F5,post-winter,3,2,41.86,15.22,74.57
forest,F6,post-winter,3,2,45.68,10.17,85.38
forest,F7,post-winter,3,2,47.08,9.68,90.92
forest,F8,post-winter,3,2,52,9.96,87.32
bamboo,B1,post-winter,3,2,14.63,13.51,75.04
bamboo,B2,post-winter,3,2,21.89,11.80,85.19
bamboo,B3,post-winter,3,2,26.27,12.30,82.42
bamboo,B4,post-winter,3,2,29.13,10.98,77.20
bamboo,B5,post-winter,3,2,31.18,11.83,71.36
bamboo,B6,post-winter,3,2,32.75,12.51,74.84
bamboo,B7,post-winter,3,2,32.89,10.49,76.90
bamboo,B8,post-winter,3,2,35,10.10,74.63
jhum,J1,post-winter,3,2,3.5,14.47,75.79
jhum,J2,post-winter,3,2,5.57,14.57,69.02
jhum,J3,post-winter,3,2,7.05,12.93,73.47
jhum,J4,post-winter,3,2,8.21,16.77,67.49
jhum,J5,post-winter,3,2,9.14,17.97,65.30
jhum,J6,post-winter,3,2,9.89,16.21,73.98
jhum,J7,post-winter,3,2,10.15,17.56,68.70
jhum,J8,post-winter,3,2,11,11.80,80.12
abandoned,A1,post-winter,3,2,5.25,13.08,78.25
abandoned,A2,post-winter,3,2,8.57,16.35,73.26
abandoned,A3,post-winter,3,2,10.80,14.45,72.76
abandoned,A4,post-winter,3,2,12.41,12.77,73.27
abandoned,A5,post-winter,3,2,13.64,10.19,94.16
abandoned,A6,post-winter,3,2,14.61,13.54,75.02
abandoned,A7,post-winter,3,2,14.92,12.97,74.11
abandoned,A8,post-winter,3,2,16,15.51,68.78
forest,F1,post-winter,4,2,23.13,12.26,83.25
forest,F2,post-winter,4,2,33.71,10.92,89.13
forest,F3,post-winter,4,2,40.41,12.74,78.56
forest,F4,post-winter,4,2,45.36,12.55,83.37
forest,F5,post-winter,4,2,49.32,13.27,89.64
forest,F6,post-winter,4,2,52.64,11.95,80.23
forest,F7,post-winter,4,2,52.96,12.19,81.89
